Customer Account Name,Opportunities Opportunity Created Date,Accounts Salesforce Account ID,Customer Account Toast Guid,Opportunities Total Software ARR,Opportunity Line Item Hardware Value,Passed Auto GIACT,Failed Auto GIACT,Banking Status,Banking Task Statuses,Go Live Status
The Suga Shack Diner LLC,2023-04-07,0014W00003CNbRDQA1,a4039d40-c282-49ad-82ec-d03e4d90ea0f,$0,$408.00,,,Not started,NEW,NEW
Chesterfield Underwoodsman LLC,2023-04-07,0014W00003CNbfyQAD,5ed6d6f1-880f-42f9-8c69-e196d103b42f,$600,$838.58,,True,On hold,ON_HOLD,NEW
Watts On The Grill,2023-04-07,0014W00003CNbaKQAT,27efd8d3-8c1a-4a6f-94eb-743f95bf619b,$0,$0.00,,,In progress,IN_PROGRESS,NEW
"Taste of the Himalayas, LLC",2023-04-07,0014W00003CNbj7QAD,bf658b9c-3cc4-4557-b0ba-b1ca224122dc,$300,"$1,100.40",True,,Completed,COMPLETED,NEW
"Comfy Food 2 Go, LLC",2023-04-07,0014W00003CNbgNQAT,767f15fe-45bf-46cd-a501-61a7202cd6b6,$0,$327.24,,True,On hold,ON_HOLD,NEW
Sara's cabin,2023-04-07,0014W00003CNbTOQA1,9681096d-ad70-42c4-b080-58b559e51566,$0,$139.98,,,Not started,NEW,NEW
Gabiotas Catering,2023-04-07,0014W00003CNbL0QAL,4a8b77db-301c-4ec0-bf8b-ecf6ed944c2e,$0,$310.20,,,Not started,NEW,NEW
Zorba the Greek,2023-04-07,0014W00003CNahOQAT,0c88f979-9d60-4d2d-b604-b693691576af,$300,$299.40,,,Not started,NEW,NEW
BLU Bar & Grill,2023-04-06,0014W00003CNY26QAH,35bfa500-01be-4a97-874f-0275f412aead,$300,$817.00,,True,In progress,IN_PROGRESS,NEW
The Yum Food Truck,2023-04-06,0014W00003CNaKEQA1,b91d4f3c-27f7-47bf-93ce-3ac6d8c4cea2,$0,$119.40,,,In progress,IN_PROGRESS,NEW
Nano Burger,2023-04-06,0014W00003CNa5EQAT,713994ff-365a-417b-b2c2-a8ca30fd2539,$300,$349.30,True,,Completed,COMPLETED,NEW
Flavour Saviour,2023-04-06,0014W00003CNZnJQAX,ccf7cf88-61da-4977-acb8-69d7aa3d7ffb,$300,$349.30,,,Not started,NEW,NEW
Kozy Kabin Coffee Shop,2023-04-06,0014W00003CNaQMQA1,14c5a07b-60d0-459b-b742-5dfffe7f15cc,$0,$119.40,,True,In progress,IN_PROGRESS,NEW
Cravin Flavor,2023-04-06,0014W00003CNaIXQA1,99f798e3-824b-4202-98b5-41024e3025ad,$0,$527.00,,,Not started,NEW,NEW
Griddly Bear,2023-04-06,0014W00003CNaOuQAL,785aa12e-f398-4700-bbeb-bcac872dbc0a,$0,$310.81,True,,Completed,COMPLETED,NEW
Field Bar & Bottle Shop,2023-04-06,0014W00003CNZnsQAH,f1c32f52-d4af-4bb8-983f-4c455f488e98,"$1,368",$838.80,,True,Completed,COMPLETED,COMPLETED
Brothers Pizza,2023-04-06,0014W000037YiZoQAK,aa3e0370-f05c-4af2-bc64-1a853f958355,$0,$736.00,,,Completed,COMPLETED,NEW
MK Pizza,2023-04-06,0014W00003CNaIhQAL,d051b8c0-f9df-4a94-aaf9-467d0a95c4ef,$0,$0.00,,,In progress,IN_PROGRESS,NEW
Melaque Mexican Restaurant,2023-04-06,0014W00003CNaLvQAL,8a47f051-290f-4694-99eb-db69624f67d2,"$1,968","$2,026.40",,True,Completed,COMPLETED,NEW
dumpLins,2023-04-06,0014W00002W889eQAB,c66aa674-fe62-41cd-8e3a-5779f4373e22,$0,$0.00,True,,Completed,COMPLETED,NEW
Ella’s Eats,2023-04-06,0014W00003CNaPxQAL,34e53515-f5a2-4599-ae85-4d0f539f822e,$300,$349.30,,True,On hold,ON_HOLD,NEW
Betty Sue's on the lake,2023-04-06,0014W00003CNaSNQA1,594e5bb8-c929-4b42-8441-4aa8e624db4a,$0,$0.00,,,Not started,NEW,NEW
Kays Juice Bar & Cafe,2023-04-06,0014W000037YXy0QAG,419fd7d3-40a2-4fa4-a85f-db07b8482d62,$0,$362.58,,True,Completed,COMPLETED,NEW
Lettuce Express,2023-04-06,0014W00003CNZbvQAH,28cd38b5-190f-43c8-8f3e-42d526b0ffdd,$0,$190.80,True,,Completed,COMPLETED,NEW
Cuban Fuego,2023-04-06,0014W00003CNZXPQA5,07ded6ea-e424-429e-bccd-67761bc63036,$0,$0.00,,,Not started,NEW,NEW
Chillspot2.0 taste of flavors,2023-04-06,0014W00003CNaEBQA1,966e2241-391a-4b32-9bab-33f17834d826,$0,$0.00,,,Not started,NEW,NEW
WNF CAFE,2023-04-06,0014W00003CNaJBQA1,be2a32b1-9f13-4e26-a93a-7146998b21a9,$0,$199.00,,True,On hold,ON_HOLD,NEW
Cottage Cafe,2023-04-06,0014W00003CNZXjQAP,0d5c8772-2a69-4a71-bba5-28e19b48c809,$0,$0.00,,,Not started,NEW,NEW
Los Hermanos Inc,2023-04-06,0014W00003CNZwmQAH,d8382886-60b3-47a4-9600-6498ba00d9d0,"$4,128","$1,816.00",,True,On hold,ON_HOLD,NEW
Yummy Tummy Sweets Bakery,2023-04-06,0014W00003CNa20QAD,dca6126f-17a6-45b8-8091-7db1b6a0140b,$0,$254.40,,,On hold,ON_HOLD,NEW
Grunts Bar,2023-04-06,0014W00003CNZeBQAX,800c055f-3b34-4f75-90b2-760d0bc54c67,$0,$222.60,,True,On hold,ON_HOLD,NEW
twisted ice cream shop,2023-04-06,0014W00003CNYrpQAH,0d1343c5-b659-4256-823a-b9725e109e48,$900,$318.00,True,,Completed,COMPLETED,NEW
Ganymead,2023-04-06,0014W00003CNaQbQAL,d4d791f7-c763-49c5-a14f-3b757da4bbcd,$0,$718.00,True,,Completed,COMPLETED,NEW
thePrince's Delicacies,2023-04-06,0014W00003CNZoCQAX,8e4171d9-9466-4e2a-8b1e-be8d2416920f,$0,$0.00,,,Not started,NEW,NEW
La Vaquita Mexican Grill,2023-04-05,0014W00003CNXLeQAP,b5746b68-3752-414e-b403-751cf9319edb,$0,$318.00,,True,Completed,COMPLETED,NEW
Sharon Barnes,2023-04-05,0014W00003CNYWoQAP,f8bb9c54-79ae-4cec-baaf-c2bb81288006,$0,$190.80,,,Not started,NEW,NEW
SNT LLC,2023-04-05,0014W00003CNYGqQAP,21a53dc8-3bad-4ef2-bf25-c81db60b7cf8,$0,$0.00,,True,In progress,IN_PROGRESS,NEW
Turkey Hen & Fin,2023-04-05,0014W00003CNXMIQA5,9663428a-04a8-4228-8d85-c01ea2069718,$0,$527.99,True,,Completed,COMPLETED,NEW
your plate or mine catering,2023-04-05,0014W00003CNYL7QAP,97d701d2-d5e5-4eeb-9b7c-1f2664954f72,$0,$119.40,,,Not started,NEW,NEW
Nubby's Wild Harvest,2023-04-05,0014W00003CNYQCQA5,0fc42fc8-61ce-436d-a98d-4c1224e479e9,$0,$199.00,,,Not started,NEW,NEW
Agawam Axe House,2023-04-05,0014W00003CNYaWQAX,7219fb53-aba1-451a-b796-e582c7ec213a,$0,$0.00,,True,Completed,COMPLETED,NEW
HyderBoyz kitchen,2023-04-05,0014W00003CNYGWQA5,13c0aba6-063f-4a49-8ad3-925a94efecdd,$0,$0.00,,,Not started,NEW,NEW
Beachy Queen,2023-04-05,0014W00003CNY1IQAX,7c7b8b3e-49b6-4167-ab71-5030726a5fdc,$0,$119.40,,,Not started,NEW,NEW
BL BBQ,2023-04-05,0014W00003CNXyYQAX,cd9753ed-e121-4425-8cf2-6df7e8883b71,$900,$0.00,,True,In progress,IN_PROGRESS,NEW
Maple Leaf Cafe Diner and Catering,2023-04-05,0014W00003CNYPxQAP,1f37ca85-bfb0-463d-9842-c2c4d69a72e0,$0,$0.00,,,Not started,NEW,NEW
TWISTED BBQ AND GRILL,2023-04-05,0014W00003CNYKiQAP,a04c89e3-d7b2-4a68-a5bc-4198886542b4,$360,$0.00,,True,Completed,COMPLETED,NEW
Christopher wade,2023-04-05,0014W00003CNYglQAH,c1af0fc6-1932-499e-85cf-ef512b638a91,$0,$436.21,,,On hold,ON_HOLD,NEW
Sarah's Rockin Kitchen,2023-04-05,0014W00003CNYShQAP,82bb1d2a-9331-4602-b690-d1e85b21ec2f,$0,$0.00,,True,Completed,COMPLETED,NEW
Wonderfully Made Catering LLC,2023-04-04,0014W00003CNWLfQAP,64eb20a2-f9b6-4a5f-91a8-986440837535,$0,$190.80,,True,On hold,ON_HOLD,NEW
Kennedy Family Farms,2023-04-04,0014W00003CNWeYQAX,dce390b1-8e15-4ea2-9fb9-c1e3dbb3f68c,$0,$318.00,True,,Completed,COMPLETED,NEW
Gringos,2023-04-04,0014W00003CNWQVQA5,d424189d-3913-42b1-93c3-9cec9f6c6cea,$0,$139.30,,,On hold,ON_HOLD,NEW
Rollin cuisine,2023-04-04,0014W00003CNWE3QAP,2fce322c-2c39-4af4-a45f-a958c6d6829f,$0,$0.00,,,Not started,NEW,NEW
Crunch of Aloha LV LLC,2023-04-04,0014W00003CNX6xQAH,f5fc627b-4e7d-4b8d-83ed-0bbad4d8aacd,$0,$167.20,True,,Completed,COMPLETED,NEW
Phat Daddy's BBQ,2023-04-04,0014W00003CNWRsQAP,1240b971-7e80-4f22-8c85-b9ba2018de42,$0,$119.40,,,In progress,IN_PROGRESS,NEW
Chicos palteria y frutería,2023-04-04,0014W00003CNWHMQA5,6fb9f57c-9050-46f6-a48e-d74b4b22e6c6,$0,$310.81,,True,On hold,ON_HOLD,NEW
La Casita De Las Frutas,2023-04-04,0014W000037XMuAQAW,4e58519f-5b60-4385-971b-6b5fb3b1151c,$600,$508.90,True,,Completed,COMPLETED,NEW
Port City Raceway,2023-04-04,0014W00003CNWEYQA5,e3acb31b-72ed-4a13-9dff-5dd2f191c34f,$0,$139.30,,True,Completed,COMPLETED,NEW
V&P'sTexMexMunchies,2023-04-04,0014W00003CNWDZQA5,540fdfd6-a2d5-46f8-bb1b-bfd8dd45dbf5,$0,$0.00,,True,Completed,COMPLETED,NEW
Salt and Light Coffee Co,2023-04-04,0014W00003CNWsVQAX,633c1ce0-b8f5-46d0-aae5-0d018fa6d68d,$300,$897.99,,True,Completed,COMPLETED,NEW
27 Bunzz llc,2023-04-04,0014W00003CNWADQA5,3f2bae56-a0c4-465a-bacc-42e906b688a7,$0,$0.00,,,Not started,NEW,NEW
Koa Bar,2023-04-04,0014W00003CNS6hQAH,4d96f85b-7b17-4449-8072-54e7b514d178,$0,$245.40,,,Not started,NEW,NEW
Betty's Food Truck Philly,2023-04-04,0014W00003CNWqAQAX,45830190-32a9-4d96-bea3-7391c5122264,$0,$0.00,,,Not started,NEW,NEW
Bluebonnet Boba,2023-04-04,0014W00003CNW3gQAH,f85d136a-e02c-462f-b20c-eed72cc8996e,$0,$254.40,,,Not started,NEW,NEW
YAKITORI Toriman,2023-04-04,0014W00003CNWVbQAP,e0d1f22b-b0a3-4061-93ba-dbda34eafaf2,$0,$167.20,,,Not started,NEW,NEW
